,Lemma,target_canonical,target_relemmatized,emlap_instances_N,noscemus_instances_N,cc_instances_N,grela_instances_N
596,Aurum,aurum,aurum,11585,9214,37216,58015
526,Argentum,argentum,argentum,10388,7566,23030,40984
29,Oleum,oleum,oleum,10016,12829,28096,50941
2277,Sal,sal,sal,9028,12636,12520,34184
96,Metallum,metallum,metallum,9026,7323,5847,22196
27,Mercurius,mercurius,mercurius,7928,8729,4942,21599
10,Sulphur,sulphur,sulphur,6960,4367,2719,14046
1200,Elementum,elementum,elementum,6959,9276,23583,39818
18,Essentia,essentia,essentia,5330,5000,54270,64600
197,Aer,aer,aer,5124,27774,43181,76079
2160,Puluis,puluis,puluis,4269,5977,16356,26602
2764,Vncia,uncia,uncia,4197,3076,2390,9663
1522,Humor,humor,humor,4010,14790,12987,31787
89,Luna,luna,luna,3595,29528,32640,65763
156,Acetum,acetum,acetum,3481,5730,7157,16368
2208,Radix,radix,radix,3149,23101,27729,53979
2549,Succus,succus,succus,3120,13361,4187,20668
946,Cinis,cinis,cinis,2637,3940,6310,12887
1325,Flos,flos,flos,2588,18101,21287,41976
795,Calx,calx,calx,2565,3330,1434,7329
1199,Elementa,elementa,elementa,2564,2652,8697,13913
205,Aes,aes,aes,2440,1774,3676,7890
2755,Vitrum,uitrum,uitrum,2421,4915,2892,10228
108,Plumbum,plumbum,plumbum,2339,2383,2785,7507
2719,Venenum,uenenum,uenenum,2266,3534,12387,18187
26,Magisterium,magisterium,magisterium,2220,466,3722,6408
264,Album,album,album,2172,3516,11533,17221
119,Solutio,solutio,solutio,2149,2836,16614,21599
2223,Rebus,rebus,rebus,2128,7848,81460,91436
11,Tinctura,tinctura,tinctura,2075,1080,315,3470
199,Aeris,aeris,aeris,2006,9172,10496,21674
2751,Vitriolum,uitriolum,uitriolum,1946,1713,118,3777
2541,Sublimatio,sublimatio,sublimatio,1914,346,122,2382
38,Vrina,urina,urina,1911,9209,4482,15602
1010,Compositio,compositio,compositio,1889,3831,15620,21340
7,Digestio,digestio,digestio,1871,858,1586,4315
65,Fermentum,fermentum,fermentum,1826,629,3374,5829
2694,Vapor,uapor,uapor,1785,4966,5594,12345
33,Quinta essentia,quinta essentia,quintus essentia,1781,516,86,2383
2731,Verto,uerto,uerto,1772,5189,26869,33830
539,Artifex,artifex,artifex,1765,2649,11200,15614
129,Vena,uena,uena,1742,15590,8154,25486
57,Destillatio,destillatio,destillatio,1719,718,390,2827
1727,Libra,libra,libra,1703,4836,7070,13609
1292,Ferrum,ferrum,ferrum,1686,4580,19958,26224
2052,Ouum,ouum,ouum,1568,5229,4346,11143
2767,Vnguentum,unguentum,unguentum,1535,2258,8384,12177
1363,Fornax,fornax,fornax,1522,1687,3494,6703
2147,Principia,principia,principia,1510,3114,17056,21680
15,Alumen,alumen,alumen,1506,1795,900,4201
3,Elixir,elixir,elixir,1455,599,74,2128
1067,Cucurbita,cucurbita,cucurbita,1410,995,1200,3605
2254,Rosa,rosa,rosa,1341,3456,5312,10109
316,Aliter,aliter,aliter,1324,7180,52478,60982
534,Arsenicum,arsenicum,arsenicum,1254,983,67,2304
649,Balsamum,balsamum,balsamum,1251,1521,1657,4429
1585,Instrumentum,instrumentum,instrumentum,1214,8248,17859,27321
256,Albi,albi,albi,1213,1927,2179,5319
754,Calcinatio,calcinatio,calcinatio,1191,349,67,1607
1383,Fumus,fumus,fumus,1171,2191,7738,11100
1262,Extractum,extractum,extractum,1170,1388,846,3404
1394,Furnus,furnus,furnus,1154,605,837,2596
903,Cerebrum,cerebrum,cerebrum,1148,10086,7882,19116
9,Putrefactio,putrefactio,putrefactio,1093,545,396,2034
462,Antimonium,antimonium,antimonium,1082,963,64,2109
509,Archeus,archeus,archeus,1022,64,2,1088
2133,Porro,porro,porro,1010,9003,32791,42804
1929,Mos,mos,mos,974,13173,65432,79579
369,Alterum,alterum,alterum,972,9317,39316,49605
1224,Ens,ens,ens,958,4010,46202,51170
16,Distillatio,distillatio,distillatio,955,484,150,1589
1832,Mars,mars,mars,951,5248,11251,17450
1412,Fusio,fusio,fusio,940,410,105,1455
519,Arena,arena,arena,938,2880,5702,9520
2352,Saturnus,saturnus,saturnus,931,4560,3645,9136
494,Aqua vitae,aqua uitae,aqua uita,922,194,195,1311
1948,Mysterium,mysterium,mysterium,919,1580,37371,39870
121,Stannum,stannum,stannum,899,859,615,2373
2593,Tartarus,tartarus,tartarus,889,517,677,2083
1659,Lapides,lapides,lapides,884,3083,10727,14694
2064,Pannus,pannus,pannus,878,1194,5486,7558
1080,Cuprum,cuprum,cuprum,826,893,341,2060
80,Lamina,lamina,lamina,792,1602,1856,4250
972,Coagulatio,coagulatio,coagulatio,780,280,154,1214
1874,Menstruum,menstruum,menstruum,769,1978,796,3543
1085,Cutis,cutis,cutis,750,7708,6102,14560
2,Nitrum,nitrum,nitrum,728,3205,1371,5304
63,Extractio,extractio,extractio,709,543,137,1389
2552,Sudor,sudor,sudor,703,2973,6239,9915
478,Aqua fortis,aqua fortis,aqua fortis,684,308,62,1054
70,Fixio,fixio,fixio,651,108,73,832
105,Officina,officina,officina,649,3124,2442,6215
90,Magister,magister,magister,644,1993,45913,48550
1907,Mistio,mistio,mistio,643,540,164,1347
2441,Signo,signo,signo,638,3934,33120,37692
1998,Olea,olea,olea,632,1311,9762,11705
131,Venus,uenus,uenus,631,2845,2594,6070
1009,Complexio,complexio,complexio,609,812,5166,6587
2581,Tabula,tabula,tabula,601,12812,18026,31439
2564,Superficies,superficies,superficies,600,10999,14483,26082
